period,value
2015.1,0.135
2015.2,0.135
2015.3,0.135
2015.4,0.135
2016.1,0.129
2016.2,0.129
2016.3,0.129
2016.4,0.129
2017.1,0.123
2017.2,0.123
2017.3,0.123
2017.4,0.123
2018.1,0.118
2018.2,0.118
2018.3,0.118
2018.4,0.118
2019.1,0.108
2019.2,0.108
2019.3,0.108
2019.4,0.108
2020.1,0.117
2020.2,0.117
2020.3,0.117
2020.4,0.117
2021.1,0.115
2021.2,0.115
2021.3,0.115
2021.4,0.115
2022.1,0.118
2022.2,0.118
2022.3,0.118
2022.4,0.118
2023.1,0.116
2023.2,0.116
2023.3,0.116
2023.4,0.116
2024.1,0.114
2024.2,0.114
2024.3,0.114
2024.4,0.114
2025.1,0.113
2025.2,0.113
2025.3,0.113
2025.4,0.113
