period,value
1990.1,-0.3397585238
1990.2,-0.3397585238
1990.3,-0.3397585238
1990.4,-0.3397585238
1991.1,-0.3397585238
1991.2,-0.3397585238
1991.3,-0.3397585238
1991.4,-0.3397585238
1992.1,-0.3397585238
1992.2,-0.3397585238
1992.3,-0.3397585238
1992.4,-0.3397585238
1993.1,-0.3397585238
1993.2,-0.3397585238
1993.3,-0.3397585238
1993.4,-0.3397585238
1994.1,-0.3397585238
1994.2,-0.3397585238
1994.3,-0.3397585238
1994.4,-0.3397585238
1995.1,-0.3397585238
1995.2,-0.3397585238
1995.3,-0.3397585238
1995.4,-0.3397585238
1996.1,-0.3397585238
1996.2,-0.3397585238
1996.3,-0.3397585238
1996.4,-0.3397585238
1997.1,-0.3397585238
1997.2,-0.3397585238
1997.3,-0.3397585238
1997.4,-0.3397585238
1998.1,-0.3397585238
1998.2,-0.3397585238
1998.3,-0.3397585238
1998.4,-0.3397585238
1999.1,-0.3397585238
1999.2,-0.3397585238
1999.3,-0.3397585238
1999.4,-0.3397585238
2000.1,-0.3397585238
2000.2,-0.3397585238
2000.3,-0.3397585238
2000.4,-0.3397585238
2001.1,-0.3397585238
2001.2,-0.3397585238
2001.3,-0.3397585238
2001.4,-0.3397585238
2002.1,-0.3397585238
2002.2,-0.3397585238
2002.3,-0.3397585238
2002.4,-0.3397585238
2003.1,-0.3397585238
2003.2,-0.3397585238
2003.3,-0.3397585238
2003.4,-0.3397585238
2004.1,-0.3397585238
2004.2,-0.3397585238
2004.3,-0.3397585238
2004.4,-0.3397585238
2005.1,-0.3397585238
2005.2,-0.3397585238
2005.3,-0.3397585238
2005.4,-0.3397585238
2006.1,-0.3397585238
2006.2,-0.3397585238
2006.3,-0.3397585238
2006.4,-0.3397585238
2007.1,-0.3397585238
2007.2,-0.3397585238
2007.3,-0.3397585238
2007.4,-0.3397585238
2008.1,-0.3397585238
2008.2,-0.3397585238
2008.3,-0.3397585238
2008.4,-0.3397585238
2009.1,-0.3397585238
2009.2,-0.3397585238
2009.3,-0.3397585238
2009.4,-0.3397585238
2010.1,-0.3397585238
2010.2,-0.3397585238
2010.3,-0.3397585238
2010.4,-0.3397585238
2011.1,-0.3397585238
2011.2,-0.3397585238
2011.3,-0.3397585238
2011.4,-0.3397585238
2012.1,-0.3397585238
2012.2,-0.3397585238
2012.3,-0.3397585238
2012.4,-0.3397585238
2013.1,-0.3397585238
2013.2,-0.3397585238
2013.3,-0.3397585238
2013.4,-0.3397585238
2014.1,-0.3397585238
2014.2,-0.3397585238
2014.3,-0.3397585238
2014.4,-0.3397585238
2015.1,-0.3397585238
2015.2,-0.3397585238
2015.3,-0.3397585238
2015.4,-0.3397585238
2016.1,-0.5007663865
2016.2,-0.5007663865
2016.3,-0.5007663865
2016.4,-0.5007663865
2017.1,-0.726908736
2017.2,-0.726908736
2017.3,-0.726908736
2017.4,-0.726908736
2018.1,-0.9225852193
2018.2,-0.9225852193
2018.3,-0.9225852193
2018.4,-0.9225852193
2019.1,-1.022524838
2019.2,-1.022524838
2019.3,-1.022524838
2019.4,-1.022524838
2020.1,2.621254986
2020.2,2.621254986
2020.3,2.621254986
2020.4,2.621254986
2021.1,2.299938225
2021.2,2.299938225
2021.3,2.299938225
2021.4,2.299938225
2022.1,1.020979798
2022.2,1.020979798
2022.3,1.020979798
2022.4,1.020979798
2023.1,0.8512934039
2023.2,0.8512934039
2023.3,0.8512934039
2023.4,0.8512934039
2024.1,0.846954138
2024.2,0.846954138
2024.3,0.846954138
2024.4,0.846954138
2025.1,0.8732172496
2025.2,0.8732172496
2025.3,0.8732172496
2025.4,0.8732172496
2026.1,0.8732172496
2026.2,0.8732172496
2026.3,0.8732172496
2026.4,0.8732172496
2027.1,0.8732172496
2027.2,0.8732172496
2027.3,0.8732172496
2027.4,0.8732172496
2028.1,0.8732172496
2028.2,0.8732172496
2028.3,0.8732172496
2028.4,0.8732172496
2029.1,0.8732172496
2029.2,0.8732172496
2029.3,0.8732172496
2029.4,0.8732172496
