period,value
2015.1,2.45
2015.2,2.45
2015.3,2.45
2015.4,2.45
2016.1,2.51
2016.2,2.51
2016.3,2.51
2016.4,2.51
2017.1,2.6
2017.2,2.6
2017.3,2.6
2017.4,2.6
2018.1,2.69
2018.2,2.69
2018.3,2.69
2018.4,2.69
2019.1,2.76
2019.2,2.76
2019.3,2.76
2019.4,2.76
2020.1,2.98
2020.2,2.98
2020.3,2.98
2020.4,2.98
2021.1,3.06
2021.2,3.06
2021.3,3.06
2021.4,3.06
2022.1,2.97
2022.2,2.97
2022.3,2.97
2022.4,2.97
2023.1,2.92
2023.2,2.92
2023.3,2.92
2023.4,2.92
2024.1,2.89
2024.2,2.89
2024.3,2.89
2024.4,2.89
2025.1,2.86
2025.2,2.86
2025.3,2.86
2025.4,2.86
