bridge_version,repo,scenario_id,scenario_label,channel,family,h,baseline_id,dose_metric,dose_value,delta_trlowz,delta_ipovall,delta_ipovch,delta_rydpc,delta_iginihh,delta_imedrinc,notes
v1,fp,ineq-ui-relief,UI Medium,ui,ui,2,ineq-baseline-observed,delta_trlowz,0.15316233759999998,0.15316233759999998,-0.00813720787000001,-0.012759958170000002,0.1740079930000018,0.003453719949999934,1.8324489590000042,secondary_metrics_provisional
v1,fp,ineq-ui-relief,UI Medium,ui,ui,4,ineq-baseline-observed,delta_trlowz,0.1503875186000001,0.1503875186000001,-0.008409164400000002,-0.013176273870000005,0.1855342879999995,0.003499795440000064,2.038762227999996,secondary_metrics_provisional
v1,fp,ineq-ui-relief,UI Medium,ui,ui,8,ineq-baseline-observed,delta_trlowz,0.14555706329999962,0.14555706329999962,-0.008588245219999999,-0.01341339977,0.20086995499999816,0.00345785396999998,2.285535722000006,secondary_metrics_provisional
v1,fp,ineq-ui-shock,UI Shock,ui,ui,2,ineq-baseline-observed,delta_trlowz,-0.021285432799999615,-0.021285432799999615,0.0011975665999999913,0.0018859021499999795,-0.024335305999999335,-0.0004904483800000081,-0.2595877360000003,secondary_metrics_provisional
v1,fp,ineq-ui-shock,UI Shock,ui,ui,4,ineq-baseline-observed,delta_trlowz,-0.020914831799999867,-0.020914831799999867,0.0012404736400000033,0.0019525055600000119,-0.026051887999997803,-0.0004978228899999992,-0.28945169099999646,secondary_metrics_provisional
v1,fp,ineq-ui-shock,UI Shock,ui,ui,8,ineq-baseline-observed,delta_trlowz,-0.020269882600000066,-0.020269882600000066,0.0012691914200000098,0.001991562089999982,-0.02834839200000161,-0.0004929961500000912,-0.3254683629999988,secondary_metrics_provisional
v1,fp,ineq-ui-small,UI Small,ui,ui,2,ineq-baseline-observed,delta_trlowz,0.07584209650000018,0.07584209650000018,-0.0041125324500000116,-0.0064611301799999965,0.08628661800000081,0.001718316899999961,0.9098720319999956,secondary_metrics_provisional
v1,fp,ineq-ui-small,UI Small,ui,ui,4,ineq-baseline-observed,delta_trlowz,0.07448961809999988,0.07448961809999988,-0.004253456399999994,-0.006678132269999998,0.09209577600000074,0.001742170050000047,1.0127652230000024,secondary_metrics_provisional
v1,fp,ineq-ui-small,UI Small,ui,ui,8,ineq-baseline-observed,delta_trlowz,0.07213472209999994,0.07213472209999994,-0.004346825339999999,-0.0068030544400000115,0.09983985899999936,0.0017227229499999774,1.1362651130000074,secondary_metrics_provisional
v1,fp,ineq-ui-large,UI Large,ui,ui,2,ineq-baseline-observed,delta_trlowz,0.22880124680000025,0.22880124680000025,-0.011933230880000006,-0.018676664150000022,0.2596864880000016,0.005142906529999991,2.734740294000005,secondary_metrics_provisional
v1,fp,ineq-ui-large,UI Large,ui,ui,4,ineq-baseline-observed,delta_trlowz,0.22459344020000005,0.22459344020000005,-0.012323041719999997,-0.01926987042,0.2766745129999997,0.005209098610000018,3.0417655410000037,secondary_metrics_provisional
v1,fp,ineq-ui-large,UI Large,ui,ui,8,ineq-baseline-observed,delta_trlowz,0.21727001649999966,0.21727001649999966,-0.012578269239999995,-0.01960444973,0.29923472899999837,0.005142734739999932,3.4077285510000053,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-relief,Federal Transfer Relief,broad_federal_transfers,federal-transfers,2,ineq-baseline-observed,delta_trlowz,0.00732187200000034,0.00732187200000034,3.640012999998887e-05,1.1601919999992827e-05,0.008367630000000403,0.00016917513999997746,0.0895829349999957,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-relief,Federal Transfer Relief,broad_federal_transfers,federal-transfers,4,ineq-baseline-observed,delta_trlowz,0.00731994810000014,0.00731994810000014,2.3809769999993957e-05,-9.742600000001156e-06,0.009097514000000473,0.00017456960000000743,0.1013722539999975,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-relief,Federal Transfer Relief,broad_federal_transfers,federal-transfers,8,ineq-baseline-observed,delta_trlowz,0.007316110599999703,0.007316110599999703,1.8302710000001055e-05,-1.9814189999994847e-05,0.010167280000001,0.0001781412899999335,0.11702843900000914,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-shock,Federal Transfer Shock,broad_federal_transfers,federal-transfers,2,ineq-baseline-observed,delta_trlowz,-0.007321827999999808,-0.007321827999999808,-3.637392999999989e-05,-1.1575100000021932e-05,-0.008367893999999154,-0.0001691776100000153,-0.08953430200000412,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-shock,Federal Transfer Shock,broad_federal_transfers,federal-transfers,4,ineq-baseline-observed,delta_trlowz,-0.007319779499999957,-0.007319779499999957,-2.3772030000007716e-05,9.79594000000139e-06,-0.009097816000000591,-0.00017457283999999795,-0.10130927800000222,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-shock,Federal Transfer Shock,broad_federal_transfers,federal-transfers,8,ineq-baseline-observed,delta_trlowz,-0.007315648500000105,-0.007315648500000105,-1.8230119999990135e-05,1.992540999998238e-05,-0.010167424999998786,-0.00017814545000005566,-0.1169472710000008,secondary_metrics_provisional
v1,fp,ineq-transfer-composite-small,Transfer Composite Small,transfer_composite,transfer-composite,2,ineq-baseline-observed,delta_trlowz,0.07626276060000015,0.07626276060000015,-0.003754138010000005,-0.005985652170000022,0.06837572400000091,0.0017171272500000057,0.7213032639999994,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-small,Transfer Composite Small,transfer_composite,transfer-composite,4,ineq-baseline-observed,delta_trlowz,0.0753402112999999,0.0753402112999999,-0.0038824051700000056,-0.006183588759999997,0.07299601500000108,0.0017393932099999954,0.8029581899999982,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-small,Transfer Composite Small,transfer_composite,transfer-composite,8,ineq-baseline-observed,delta_trlowz,0.07377214119999964,0.07377214119999964,-0.003990531630000002,-0.006336298000000018,0.07915769399999917,0.0017305920599999247,0.9010350690000024,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-medium,Transfer Composite Medium,transfer_composite,transfer-composite,2,ineq-baseline-observed,delta_trlowz,0.15332710120000037,0.15332710120000037,-0.0076026744300000115,-0.012048562910000005,0.14557350699999994,0.003443436619999962,1.533019023999998,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-medium,Transfer Composite Medium,transfer_composite,transfer-composite,4,ineq-baseline-observed,delta_trlowz,0.1512080296999998,0.1512080296999998,-0.007855035139999994,-0.012435325840000011,0.1552563900000017,0.0034866409600000092,1.7057818810000072,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-medium,Transfer Composite Medium,transfer_composite,transfer-composite,8,ineq-baseline-observed,delta_trlowz,0.14757444809999987,0.14757444809999987,-0.008055242569999996,-0.012712177190000007,0.16814704799999802,0.003460732430000002,1.9126577620000091,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-large,Transfer Composite Large,transfer_composite,transfer-composite,2,ineq-baseline-observed,delta_trlowz,0.22981443110000033,0.22981443110000033,-0.011348516450000012,-0.017910915550000017,0.2245223840000019,0.005149400319999942,2.3635925939999964,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-large,Transfer Composite Large,transfer_composite,transfer-composite,4,ineq-baseline-observed,delta_trlowz,0.22639704309999997,0.22639704309999997,-0.011715627039999996,-0.018469862650000002,0.2392720720000021,0.005211813220000028,2.6291540480000037,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-large,Transfer Composite Large,transfer_composite,transfer-composite,8,ineq-baseline-observed,delta_trlowz,0.22051458239999988,0.22051458239999988,-0.011996819889999996,-0.018852416640000008,0.25887431800000016,0.005164743419999951,2.946147446000012,secondary_metrics_provisional; financed_transfer_package
